ItemId,場站名稱,場站英文名稱,場站的總停車格,場站的目前車輛數,資料更新時間(yyyyMMddhhmmss),經度,緯度,擋板數量,空位數量
492,中正基河路口,Zhongzheng & Jihe Intersection,38,14,20140319132014,25.093396,121.519867,0,24
493,瑞光港墘路口,Ruiguang & Gangqian Intersection,30,3,20140319132024,25.076193,121.57505,1,26
494,東湖國小,Donghu Elementary School,38,18,20140319132008,25.068409,121.615938,0,20
498,捷運中山站(2號出口),MRT Zhongshan Sta. (Exit 2),30,3,20140319132029,25.053082,121.52029,0,27
508,大豐公園,Huanggang Rd. / Daxing St.,56,15,20140319132013,25.131143,121.503768,0,41
499,大鵬華城,Dapeng Community,38,18,20140319132028,24.99116,121.53398,0,20
509,汐止火車站,Xizhi Railway Station,56,31,20140319132022,25.068914,121.662748,0,23
510,汐止區公所,Xizhi Dist. Office,46,8,20140319132007,25.064162,121.658301,0,38
512,國泰綜合醫院,Cathay General Hospital,40,5,20140319132034,25.07315,121.662555,0,35
513,裕隆公園,Yulon Park,40,24,20140319132022,24.979649,121.546319,0,16
516,捷運大坪林站,MRT DaPingLin Station,32,1,20140319132031,24.983977,121.541721,0,31
